Broadband Provider Name,DBA Name,Holding Company,Consumer Support Phone Number,Consumer Website URL,States and Territories,Broadband Service Type,"Offering Connected Devices (Laptop, Desktop, or Tablet)?"
"Giant Communications, Inc.",,LICT Corporation,785-362-9331,www.Connect.giantcomm.net,KS,Fixed Broadband,No
Hemingford Cooperative Telephone Company,,,308-487-3311,www.bbc.net,NE,Fixed Broadband,No
"HolstonConnect, LLC",,"HolstonConnect, LLC subsidiary of Holston Electric Cooperative",Main: 423-272-8821 or Cust: 423-272-1001 or Tech: 423-601-7998,https://holstonconnect.com/ and https://holstonconnect.com,TN,Fixed Broadband,No
Lafourche Telephone Company LLC,Vision,"Reserve Communications and Computer, LLC",985-693-0123,www.viscom.net/,LA,Fixed Broadband,No
Midstate Communications,,,605-778-6221,www.midstatesd.net,SD,Fixed Broadband,No
Missouri RSA 5 Partnership,Chariton Valley Wireless Services,Chariton Valley Communications Corporation,600-395-9000,www.cvalley.net,MO,Fixed Broadband or Mobile Broadband,No
Mobius Communications Company,,,308-487-5500,www.bbc.net,NE,Fixed Broadband,No
OACYS Technology,,,559-781-4123,www.oacys.com,CA,Fixed Broadband,No
Peoples Rural Telephone Cooperative,,,877-814-7101,https://prtcnet.org,KY,Fixed Broadband,Yes
Pine Belt Telephone Co Inc,,,334-385-2106,www.pinebelt.net,AL,Fixed Broadband,No
"Red Spectrum Communications, LLC",,,208-686-2022,www.red-spectrum.com,ID,Fixed Broadband,No
"Reserve Telephone Company, LLC",RTC,"Reserve Communications and Computer, LLC",888-611-6111,www.rtconline.com,LA,Fixed Broadband,No
"Salina Spavinaw Telephone Company, Inc",,,1-800-722-3450,www.sstelco.com,OK,Fixed Broadband,No
"Smith Bagley, Inc",Cellular One of Northeast AZ,,800-730-2351,www.MyCellularOne.com,"AZ, NM, UT",Mobile Broadband,No
"Sonic.net, LLC.",Sonic,,707-522-1000,www.Sonic.com,CA,Fixed Broadband,No
"SPITwSPOTS, Inc.",,,907-226-2082,www.spitwspots.com,AK,Fixed Broadband,No
"Spring City Cable TV, Inc.",,,423-365-7288,http://www.springcitycable.com,TN,Fixed Broadband,No
"SyncWave, LLC",,,231-845-1065,www.syncwave.net,MI,Fixed Broadband,No
United Telephone Mutual Aid Corp,"United Communications, Turtle Mountain Communications",,701-256-5156 or 1-800-844-9708,www.utma.com,ND,Fixed Broadband,No
Venture Communications Cooperative,,,800-824-7282,www.venturecomm.net,SD,Fixed Broadband,No
"Vyve Broadband J, LLC",,"Vyve Broadband Investments, LLC",1-855-FOR-VYVE,www.Vyvebroadband.com,"AL, AR, CA, CO, GA, ID, KS, LA, NE, NC, OK, SC, TN, TX, WA, WY",Fixed Broadband,No
Mutual Telephone Company,Premier Communications,,800-741-8351,www.mypremieronline.com,IA,Fixed Broadband,No
"Belmont Telephone Co., Inc.","CS Technologies, LaGrant Connections",LICT,608-762-5800,www.belmonttel.com,WI,Fixed Broadband,No
"CCI Systems, Inc.",Astrea,,800-236-8434,www.astreaconnect.com,"MI, WI",Fixed Broadband,Yes
Cellco Partnership,,Verizon Communications Inc.,1-800-922-0204,www.verizon.com,"AL, AK, AZ, AR, CA, CO, CT, DE, DC, FL, GA, HI, ID, IL, IN, IA, KS, KY, LA, ME, MD, MA, MI, MN, MS, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VT, VA, WA, WV, WI, WY",Fixed Broadband or Mobile Broadband,No
"CoBridge Broadband, LLC",Fidelity Communications; CoBridge Communications,"Cable One, Inc.",1-800-392-8070,www.fidelitycommunications.com,"AR, LA, TX",Fixed Broadband,No
"Farmers Telecommunications Cooperative, Inc.",,,256-638-2144,https://farmerstel.com/,AL,Fixed Broadband,No
"Golden West Telecommunications Cooperative, Inc.",,,1-855-888-7777,www.goldenwest.com,"NE, SD",Fixed Broadband,No
"Haefele TV, Inc.",Haefele Connect,,866-708-1556,www.htva.net,NY,Fixed Broadband,No
Heartland Telecommunications Company of Iowa,Premier Communications,Mutual Telephone Company,800-741-8351,www.mypremieronline.com,IA,Fixed Broadband,No
"Horizon Cable TV, Inc.",Horizon Cable,,415-663-9610,www.horizoncable.com,CA,Fixed Broadband,No
"Hospers Telephone Exchange, Inc.",Premier Communications,"Mutual Telephone Company of Sioux Center, Iowa",800-741-8351,www.mypremieronline.com,IA,Fixed Broadband,No
Hot Springs Telephone Co.,,,406-741-2751,www.hotspringsmt.net,MT,Fixed Broadband,No
"John R Guzzo, LLC",Hudson Valley Wireless,,518-458-7006,www.hvwisp.com,NY,Fixed Broadband,No
Mid-Hudson Data Corp,,,800-342-5400,www.mhcable.com,NY,Fixed Broadband,No
Midvale Telephone Company,MTE Communications,Midvale Telephone Exchange,800-462-4523,www.mtecom.net,"AZ, ID",Fixed Broadband,No
"Millry Telephone Company, Inc.",Millry Communications,Millry Corporation,888-227-5710,www.millry.net,AL,Fixed Broadband,No
Northern Iowa Telephone Company,Premier Communications,"Mutual Telephone Company of Sioux Center, Iowa",800-741-8351,www.mypremieronline.com,IA,Fixed Broadband,No
"Premier Communications, Inc.",Premier Communications,"Mutual Telephone Company of Sioux Center, Iowa",800-741-8351,www.mypremieronline.com,IA,Fixed Broadband,No
United Telephone Company,United Communications,"United Communications Holdings, LLC",1-800-779-2227,www.united.net,TN,Fixed Broadband,Yes
Verizon Delaware LLC,,Verizon Communications Inc.,1-800-837-4966,www.verizon.com,DE,Fixed Broadband,No
Verizon Maryland LLC,,Verizon Communications Inc.,1-800-837-4966,www.verizon.com,MD,Fixed Broadband,No
Verizon New England LLC,,Verizon Communications Inc.,1-800-837-4966,www.verizon.com,"MA, RI",Fixed Broadband,No
Verizon New Jersey Inc,,Verizon Communications Inc.,1-800-837-4966,www.verizon.com,NJ,Fixed Broadband,No
Verizon New York,,Verizon Communications Inc.,1-800-837-4966,www.verizon.com,"CT, NY",Fixed Broadband,No
Verizon North LLC,,Verizon Communications Inc.,1-800-837-4966,www.verizon.com,PA,Fixed Broadband,No
Verizon Pennsylvania LLC,,Verizon Communications Inc.,1-800-837-4966,www.verizon.com,PA,Fixed Broadband,No
Verizon South LLC,,Verizon Communications Inc.,1-800-837-4966,www.verizon.com,VA,Fixed Broadband,No
Verizon Virginia LLC,,Verizon Communications Inc.,1-800-837-4966,www.verizon.com,VA,Fixed Broadband,No
Verizon Washington DC Inc,,Verizon Communications Inc.,1-800-837-4966,www.verizon.com,DC,Fixed Broadband,No
"WAVE Rural Connect, LLC",WAVE Rural Connect,Arkansas Valley Electric Cooperative Corp.,833-492-8372,https://waveruralconnect.com/,"AR, OK",Fixed Broadband,No
"West Kentucky Rural Telephone Cooperative Corp., Inc.",West Kentucky and Tennessee Telecommunications Cooperative,,877-954-8748,www.mywkt.net,"KY, TN",Fixed Broadband,No
Farmers Telephone Company,,,641-662-2373,www.farmerstelephoneco.com,IA,Fixed Broadband,No
"Belzoni Cable, LLC",,,662-247-1834,http://www.belzonicable.com,MS,Fixed Broadband,No
Boycom Cablevision Inc.,,"Boycom Cablevision Inc. / Partel Broadband Telecommunications, Inc.",800-890-6620,www.boycom.com,MO,Fixed Broadband,No
C&C WIRELESS PUERTO RICO INC,,,787-635-3534,http://www.ccwirelesspr.net,PR,Fixed Broadband,No
Central Scott Telephone Company,,,563-285-8885,www.centralscott.com,IA,Fixed Broadband,No
"Community Cable and Broadband, LLC",,,205-298-8500,www.communitycable.net,AL,Fixed Broadband,No
"Cuba City Telephone Exchange Co., Inc.","CS Technologies, LaGrant Connections",LICT,1-608-744-2154,www.cubacitytel.com,WI,Fixed Broadband,No
"Flume Internet, Inc.",,,646-809-1026,www.flumeinternet.com,NY,Fixed Broadband,No
"JTM Bradband, LLC",,,931-306-6555,www.jtmbradband.com,"AL, TN",Fixed Broadband,No
"Lincoln Telephone Company, Inc.",,,406-362-4216,https://linctel.net,MT,Fixed Broadband,No
Mid-Maine Telecom LLC,Otelco,Otelco Inc,1-833-683-5261,www.otelco.com,ME,Fixed Broadband,No
North End Woodward Community Coalition,Equitable Internet Initiative,North End Woodward Community Coalition,313-236-4591,https://mynewcc.org,MI,Fixed Broadband,No
Pine Tree Telephone LLC,Otelco,Otelco Inc,1-833-683-5261,www.otelco.com,ME,Fixed Broadband,No
Red River Rural Telephone Association,Red River Communications,,701-553-8309 or 866-553-8309,www.redrivercomm.com,"MN, ND, SD",Fixed Broadband,No
Redzone Wireless LLC,,,207-596-5700,www.redzonewireless.com/,ME,Fixed Broadband,No
"Rural Connect, LLC",,,731-688-3042,www.ruralconnecttn.com,TN,Fixed Broadband,No
Saco River Telephone LLC,Otelco,Otelco Inc,1-833-683-5261,www.otelco.com,ME,Fixed Broadband,No
Shoreham Telephone LLC,Otelco,Otelco Inc,1-833-683-5261,www.otelco.com,VT,Fixed Broadband,No
TM Telecomm Corp,,,305-471-8467,www.tmtelcomm.com,"AL, FL, GA, LA, OH",Fixed Broadband or Mobile Broadband,Yes
United States Cellular Corporation,U.S. Cellular,"Telephone and Data Systems, Inc.",1-888-944-9400,www.uscellular.com,"CA, IL, IA, KS, ME, MO, NE, NH, NC, OK, OR, TN, VA, WA, WV, WI",Fixed Broadband or Mobile Broadband,No
"United Wireless Communications, Inc.",,"United Telephone Association, Inc.",620-227-8641,www.getunited.com,KS,Fixed Broadband or Mobile Broadband,No
"Advanced Communications Technology, Inc.",Range,,888-304-8889,www.range.net,WY,Fixed Broadband,No
Blountsvile Telephone LLC,Otelco,Otelco Inc,1-833-683-5261,www.otelco.com,AL,Fixed Broadband,No
Brindlee Mountain Telephone LLC,Otelco,Otelco Inc,1-833-683-5261,www.otelco.com,AL,Fixed Broadband,No
"Dubois Telephone Exchange, Inc.",Range,,800-877-7699,www.range.net,"CO, WY",Fixed Broadband,No
Egyptian Telephone Cooperative Assn,,,618-774-1000,www.egyptian.net,IL,Fixed Broadband,No
Ellijay Telephone Company,,Ellijay Telephone Company,800-660-6826,www.etcnow.com,"GA, TN",Fixed Broadband,No
Hopper Telecommunications LLC,Otelco,Otelco Inc,1-833-683-5261,www.otelco.com,AL,Fixed Broadband,No
"Lincoln County Telephone System, Inc.",LCTS TurboNet Broadband,"Lincoln Communications, Inc.",800-340-4131,www.Lctsys.com,NV,Fixed Broadband,No
New Hope Telephone Cooperative,,,540-363-5277,www.newhopetel.com,VA,Fixed Broadband,No
Otelco Telephone LLC,Otelco,Otelco Inc,1-833-683-5261,www.otelco.com,AL,Fixed Broadband,No
Oxford Telephone Co,FirstLight Fiber,FirstLight Fiber,1-833-673-9911,www.firstlight.net,ME,Fixed Broadband,No
"Range Telephone Cooperative, Inc.",Range,,800-927-2643,www.range.net,"MT, WY",Fixed Broadband,No
"RT Communications, Inc.",Range,,800-647-9841,www.range.net,"MT, SD, WY",Fixed Broadband,No
"S&T Communications, LLC",,,1-800-432-8294,www.sttelcom.com,KS,Fixed Broadband,No
Telrite Holdings Inc,Life Wireless,Telrite Holdings Inc,1-888-543-3620,www.lifewireless.com,"AZ, AR, CA, CO, GA, IL, IN, IA, KS, KY, LA, ME, MD, MI, MN, MS, MO, NE, NV, NY, ND, OH, OK, PA, RI, SC, TX, UT, VT, WA, WV, WI, PR, VI",Mobile Broadband,No
Ting Fiber,Ting Internet,"Tucows, Inc.",1-844-846-4994,https://ting.com/internet,"CA, CO, ID, MD, NM, NC, VA",Fixed Broadband,No
Tohono O'odahm Utility Authority,,,520-383-2236,www.TOUA.net,AZ,Fixed Broadband,No
Pulaski Electric System,Pulaski Electric System/PES/PES Energize,,931-363-2522,www.pesenergize.com,TN,Fixed Broadband,No
"Alaska Communications Internet, LLC",Alaska Communications,"Alaska Communications Systems Holdings, Inc.",1-800-808-8083,www.alaskacommunications.com,AK,Fixed Broadband,No
"Assist Wireless, LLC",,,1-855-392-7747,www.assistwireless.com/,"AR, MD, MO, OK",Mobile Broadband,Yes
Beaver Creek Cooperative Telephone Company,BTC,,503-632-3113,www.btctelco.com,OR,Fixed Broadband,No
Brandenburg Telephone Company,,,270-422-2121,https://home.bbtel.com/,KY,Fixed Broadband,No
Canby Telephone Association,DirectLink,,503-266-8111,www.directlink.coop,OR,Fixed Broadband,No
"Cim Tel Cable, LLC",,"MBO, LLC",800-722-3979,www.cimtel.net,OK,Fixed Broadband,No
"Cimarron Telephone Company, LLC",,"MBO, L.L.C.",800-722-3979,www.cimtel.net,OK,Fixed Broadband,No
"Consolidated Fiber, Inc.",,"Consolidated Electric Cooperative, Inc.",800-421-5863,www.consolidated.coop/fiber/,OH,Fixed Broadband,No
"Cross Cable Television, LLC",,"Cross Telephone Company, L.L.C.",800-828-6567,www.crosstel.net,OK,Fixed Broadband,No
"Cross Telephone Company, LLC",,,800-828-6567,www.crosstel.net,OK,Fixed Broadband,No
"Cross Wireless, L.L.C.",Bravado Wireless,"Cross Telephone Company, L.L.C.",866-500-8488,www.bravadowireless.com,OK,Mobile Broadband,Yes
Cross-Valliant Cellular Partnership,,"Cross Telephone Company, L.L.C.",800-828-6567,www.crosstel.net,OK,Fixed Broadband or Mobile Broadband,No
"Cyber Broadband, Inc.",,,256-734-1077,www.cyberbroadband.net,AL,Fixed Broadband,No
"Eco Services, LLC","ECOLink, LLC",,918-756-0833,www.ecolink.coop,OK,Fixed Broadband,Yes
FastMesh LLC,FastMesh Internet,,OR: 503-893-8638 or WA: 206-317-4336,www.fastmesh.com,"OR, WA",Fixed Broadband,Yes
Gridley Telephone Co.,,"Egyptian Communications Service, Inc.",309-747-2221,www.gridtel.com,IL,Fixed Broadband,No
Johnson City Energy Authority,BrightRidge,,423-952-5000,www.mybrightridge.com,TN,Fixed Broadband,No
"K & M Telephone Company, Inc.",,,402-482-5220,http://www.kmtel.net,NE,Fixed Broadband,No
Micronesian Telecommunications Coproration,IT&E,,670-682-4483,https://store.ite.net/,MP,Fixed Broadband,No
"Newmax, LLC",Intermax Networks,,208-762-8065,www.intermaxnetworks.com,ID,Fixed Broadband,No
Plumas-Sierra Telecommunications,,Plumas-Sierra Rural Electric Cooperative,800-221-3474,www.plumassierratelecommunications.com,"CA, NV",Fixed Broadband,No
Sateo Inc.,Microcom,,907-264-0052,https://microcom.tv/,AK,Fixed Broadband,No
"The Pottawatomie Telephone Co., L.L.C.",,"MBO, L.L.C.",800-522-3221,www.potelco.com,OK,Fixed Broadband,No
"Vicksburg Video, Inc",,"WHECO Video, Inc",1-800-903-0508,www.vicksburgvideo.com,MS,Fixed Broadband,No
"Wabash Telephone Cooperative, Inc.",Wabash Communications Coop,,618-665-3311,www.wabash.net,IL,Fixed Broadband,No
Wellman Cooperative Telephone Association,,,319-646-6075,www.wellmantelephone.com,IA,Fixed Broadband,No
"Xtreme Enterprises, LLC",Xtreme Internet,,570-787-7000,www.xtremeinternet.biz,PA,Fixed Broadband,No
Allo Communications LLC,ALLO Communications,,308-633-5050,www.allofiber.com,"CO, NE",Fixed Broadband,No
Carnegie Telephone Company Inc,Carnegie Telephone Company,,580-654-1002,www.carnegietelco.com,OK,Fixed Broadband,No
"Commnet Four Corners, LLC",,"Commnet Wireless, LLC",719-626-0000,www.choice-wireless.com/broadband.html,"AZ, CO, MT, NM, UT",Fixed Broadband or Mobile Broadband,Yes
"Commnet of Nevada, LLC",,"Commnet Wireless, LLC",719-626-0000,www.choice-wireless.com/broadband.html,NV,Fixed Broadband or Mobile Broadband,Yes
Cordova Telephone Cooperative,Cordova Telecom Cooperative,,907-424-2345,www.ctcak.net,AK,Fixed Broadband,No
"Ganado Telephone Co., Inc.",YK Communications,,361-771-3334,www.ykc.com,TX,Fixed Broadband,No
"IdeaTek Telcom, LLC",,,1-855-433-2835,https://ideatek.com/,KS,Fixed Broadband,No
ImOn Communications,,,319-298-6484,www.ImOn.net,IA,Fixed Broadband,No
"Logan Telephone Cooperative, Inc.",LTC Connect,,270-542-4121,www.ltcconnect.com,KY,Fixed Broadband,No
Manti Telephone Company,,,435-835-3391,www.manti.com,UT,Fixed Broadband,No
McDonough Telephone Cooperative,,,309-776-32 14,www.mdtc.net,IL,Fixed Broadband,No
Northwest Communications Cooperative,,,701-568-3331,www.nccray.com,ND,Fixed Broadband,No
"NTUA Wireless, LLC",,"Commnet Wireless, LLC",719-626-0000,www.choice-wireless.com/broadband.html,"AZ, NM, UT",Fixed Broadband or Mobile Broadband,Yes
Oxford West Telephone Co.,FirstLight Fiber,FirstLight Fiber,1-833-673-9911,www.firstlight.net,ME,Fixed Broadband,No
"S&T Telephone Cooperative Association, Inc",,,1-800-432-8294,www.sttelcom.com,KS,Fixed Broadband,No
"South Central Utah Telephone Association, Inc.",South Central Communications,,888-826-4211,www.socen.com,"AZ, UT",Fixed Broadband,No
Valu-Net LLC,,"Cable One, Inc",620-208-5000,www.myvalunet.com,KS,Fixed Broadband,No
"West Carolina Rural Telephone Coop., Inc.",WCTEL,,864-446-2111,www.wctel.com,SC,Fixed Broadband,No
Arkansas Telephone Co,,,501-745-2114,www.artelco.com,AR,Fixed Broadband,No
Atlantic Telephone Membership,ATMC,,910-754-4311,www.atmc.com,NC,Fixed Broadband,No
Big Bend Telephone,,Neville Holding Inc,800-520-0092 or 800-592-4781,www.bigbend.com,TX,Fixed Broadband,Yes
Bledsoe Telephone Cooperative Corporation,BTC Fiber,,423-447-2121,www.bledsoe.net,TN,Fixed Broadband,No
City of Ketchikan,Ketchikan Public Utilities,,1-907-225-1000,www.kputel.com,AK,Fixed Broadband,No
Colton Telephone Company,Coltontel,,503-824-3211,www.colton.com,OR,Fixed Broadband,No
"Computer Techniques, Inc.",CTI Fiber,,217-824-6398,www.ctitech.com,IL,Fixed Broadband,No
Empire Telephone Corporation,,,800-338-3300,www.empireaccess.com,NY,Fixed Broadband,No
"Home Telephone ILEC, LLC",Home Telecom,,843-761-9101,www.HomeSc.com,SC,Fixed Broadband,No
Interior Telephone Company,,"TelAlaska, Inc.",1-800-478-3127,www.telalaska.com/residential-services/internet/,AK,Fixed Broadband,No
"Missouri Valley Communications, Inc.",Nemont,"Nemont Telephone Cooperative, Inc.",800-636-6680,www.nemont.com,ND,Fixed Broadband,No
Mohawk Networks LLC,Mohawk Networks LLC,,518-358-2105,www.mohawk-networks.com,NY,Fixed Broadband,No
Monitor Cooperative Telephone Company,Monitor Telecom,,503-634-2266,www.monitorcoop.com,OR,Fixed Broadband,No
"Mukluk Telephone Company, Inc.",,"TelAlaska, Inc.",1-800-478-3127,www.telalaska.com/residential-services/internet/,AK,Fixed Broadband,No
"Nemont Telephone Cooperative, Inc.",,,800-636-6680,www.nemont.com,"MT, ND",Fixed Broadband,No
"Newport Telephone Company, lnc.",,The Middleburgh Telephone Company,315-845-8112,www.ntcnet.com,NY,Fixed Broadband,No
Oneida County Rural Telephone Company,,,315-865-5201,www.ocrt.com,NY,Fixed Broadband,No
"Penasco Valley Telephone Cooperative, lnc",,,575-748-1241,www.pvt.com/,NM,Fixed Broadband,No
Project Telephone,Nemont,"Nemont Telephone Cooperative, Inc.",800-636-6680,www.nemont.com,MT,Fixed Broadband,No
San Carlos Apache Telecommunications Utility Inc.,,,928-475-2433,www.scatui.com,AZ,Fixed Broadband,Yes
Sano Health LLC,Sano Health,,855-533-7266 (SANO),www.sanohealth.com,"AL, AK, AZ, AR, CA, CO, CT, DE, DC, FL, GA, HI, ID, IL, IA, KS, KY, LA, ME, MD, MA, MI, MN, MS, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VT, VA, WA, WV, WI, WY",Mobile Broadband,No
Spring Grove Communications,,,507-498-3456,www.yourlocal.coop,"IA, MN",Fixed Broadband,Yes
Yelcot Telephone Company,YELCOT,Yelcot Holding Company,800-354-3360,www.yelcot.com,AR,Fixed Broadband,No
Jefferson Telephone Company,Jefferson Telecom,,515-386-4141,www.jeffersontelecom.com,IA,Fixed Broadband,No
Adams Telephone Co-Operative,,Adams Telephone Co-Operative,217-696-4611,www.adams.net,IL,Fixed Broadband,No
"Alpine Communications, LC",,,800-635-1059,www.alpinecom.net,IA,Fixed Broadband,No
"Ben Lomand Rural Telephone Cooperative, Inc.",Ben Lomand Connect,"Ben Lomand Holdings, Inc.",931-668-4131,www.benlomandconnect.com,TN,Fixed Broadband,No
"Broadband VI, LLC",,,340-719-2943,www.broadband.vi,VI,Fixed Broadband,No
"CoxCom, LLC",,"Cox Communications, Inc.",1-888-495-0220,www.cox.com/residential/home.html,"AZ, AR, CA, CT, FL, GA, ID, IA, KS, LA, MA, NE, NV, NC, OH, OK, RI, VA",Fixed Broadband,Yes
"Elsie Communications, Inc.",,"USConnect Holdings, Inc.",866-542-6780,www.elsiecomm.net,NE,Fixed Broadband,No
Harmony Telephone Company,,,507-886-2525,www.harmonytel.com,"IA, MN",Fixed Broadband,Yes
Jackson Energy Authority,EPlus Broadband,,731-422-7500,www.eplusbroadband.com/,TN,Fixed Broadband,No
"Jo-Carroll Energy, Inc.",,,800-858-5522,https://connectsp.com/,"IL, WI",Fixed Broadband,No
"Massillon Cable TV, Inc.",MCTV,,330-833-4134,www.mctvohio.com,"OH, WV",Fixed Broadband,No
"Mescalero Apache Telecom, Inc.",,,575-464-4039,www.matinetworks.net,NM,Fixed Broadband,No
Mid Century Telephone Cooperative,,Mid Century Telephone Cooperative,309-778-8611,www.midcentury.com,IL,Fixed Broadband,No
North Penn Telephone Company,,,800-338-3300,www.empireaccess.com,PA,Fixed Broadband,No
Oneida Telephone Exchange,,,309-483-3111,www.oneidatel.com,IL,Fixed Broadband,No
Otelco Mid-Missouri LLC,Otelco,Otelco Inc,1-833-683-5261,www.otelco.com,MO,Fixed Broadband,No
Pigeon Telephone Company,,"Agri-Valley Communications, Inc.",1-888-282-4932 or 989-453-4393,www.agrivalleyservices.com/,MI,Fixed Broadband,No
"Riviera Telephone Company, Inc.",,,361-296-3232,www.rivnet.com,TX,Fixed Broadband,No
Service Electric Cable TV Inc.,Service Electric Acble TV and Communications,Service Electric Television Inc,610-865-9100,www.sectv.com,"NJ, PA",Fixed Broadband,No
"Simply Bits, LLC",,,520-545-0333,www.simplybits.com,AZ,Fixed Broadband,No
South Park L.L.C.,"South Park Telephone, LLC","USConnect Holdings, Inc.",719-837-6400,www.southparktelephone.com,CO,Fixed Broadband,No
The Rye Telephone Company,"Rye Telephone, Inc.","USConnect Holdings, Inc.",719-676-3131,www.ryetelephone.com,CO,Fixed Broadband,No
Tongue River Cable TV Inc,,,307-665-9011,https://trcable.tv/,WY,Fixed Broadband,No
"Triplet Mountain Communications, Inc.",,,928-475-8624,www.tripletmtn.com,AZ,Fixed Broadband,Yes
Tularosa Basin Telephone Company,,,575-585-2000,www.tularosa.net,NM,Fixed Broadband,No
Venus Telephone Corporation,,,814-354-2192,www.venustel.com,PA,Fixed Broadband,No
"Waverly Hall Telephone, LLC",,"USConnect Holdings, Inc.",706-582-3333,www.wavcom.us,GA,Fixed Broadband,No
"4-County Fiber, LLC",4CFASTnet,,1-800-431-1544,www.4cfastnet.com,MS,Fixed Broadband,No
Another Corporate ISP,Monkeybrains,Tel-One Network Services Inc.,415-974-1313; 2,www.monkeybrains.net/,CA,Fixed Broadband,No
Barger Creek LLC,Barger Creek Wireless,N/A,989-341-3417,www.bargercreek.com,MI,Fixed Broadband,No
Belhaven Cable TV Inc,,,252-943-3736,www.beaufort-county.us/,NC,Fixed Broadband,No
Central Texas Telephone Cooperative Inc,Central Texas TeleCommunications,,800-535-8904,www.centexnet.com,TX,Fixed Broadband,No
"Central Virginia Services, Inc",Firefly Fiber Broadband,Central Virginia Electric Cooperative,833-473-3591,https://www.fireflyva.com,VA,Fixed Broadband,No
"Craigville Telephone Company, Inc.",AdamsWells Internet Telecom TV,,260-565-3131,www.adamswells.com,IN,Fixed Broadband,No
Dalton Telephone Company,Dalton Telephone Co.,"USConnect Holdings, Inc.",866-542-6779,www.daltontel.net,NE,Fixed Broadband,No
"Delta Fiber, LLC",DE LightSpeed,"Delta Fiber, LLC",662-477-1975,www.delightspeed.coop,MS,Fixed Broadband,No
"Douglas Services, Inc.",Douglas Fast Net,"Douglas Services, Inc. dba Douglas Fast Net",1-800-516-5251,https://dfn.net,OR,Fixed Broadband,No
E.L. Automation Inc.,E.L Internet Northwest,,208-946-4147,www.elinternetnw.com,ID,Fixed Broadband,No
"Fidelity Cablevision, LLC",Fidelity Communications,"Cable One, Inc",1-800-392-8070,www.fidelitycommunications.com,"AL, AZ, AR, ID, IL, IN, IA, KS, LA, MN, MS, MO, NE, NM, OK, OR, SD, TN, TX, WA",Fixed Broadband,No
MS Wifi Zone Inc.,,,787-230-7088,http://mswifizonepr.com/,PR,Fixed Broadband,No
PCs for People,,,651-354-2552,www.pcsforpeople.org,"AL, AK, AZ, AR, CA, CO, CT, DE, DC, FL, GA, HI, ID, IL, IN, IA, KS, KY, LA, ME, MD, MA, MI, MN, MS, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VT, VA, WA, WV, WI, WY, PR",,Yes
Personal Network Computing Inc,Valley Internet,,707-422-1200,www.valleyinternet.com/,CA,Fixed Broadband,No
Planet Networks Inc,Planet Networks,,833-3PLANET or 862-300-3150,https://planet.net,NJ,Fixed Broadband,No
"S&A Telephone Company, Inc.",,"USConnect Holdings, Inc.",800-626-8859,satelephone.com,KS,Fixed Broadband,No
"Smithville Telephone Company, Inc.",,"Traceroad, Inc.",662-651-4131,www.traceroad.net,MS,Fixed Broadband,No
The Livingston Telephone Company,Livingston Communications Inc.,"USConnect Holdings, Inc.",936-327-4309,www.livcom.us,TX,Fixed Broadband,No
The Middleburgh Telephone Company,,,518-827-5211,www.midtel.com,NY,Fixed Broadband,No
"Tri-Co Connections, LLC",,,1-833-822-2010,www.tricoconnections.com/,PA,Fixed Broadband,No
West Liberty Telephone Co,Liberty Communications,,319-627-2145,https://libertycommunications.com/,IA,Fixed Broadband,No
"Ztar Mobile, Inc",good2go mobile,,800-416-3003,www.good2gomobile.com,"AL, AK, AZ, AR, CA, CO, CT, DE, DC, FL, GA, HI, ID, IL, IN, IA, KS, KY, LA, ME, MD, MA, MI, MN, MS, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, WA, WV, WI, WY, PR, VI",Mobile Broadband,No
"3 Rooms Communications, LLC",Wi-Five Broadband/Cito Fiber,,866-804-9035,www.wi-five.com or www.citofiber.com,TX,Fixed Broadband,No
"Arrowhead Electric Cooperative, Inc.",True North Broadband,"Arrowhead Electric Cooperative, Inc.",218-663-9030,www.truenorthbroadband.com,MN,Fixed Broadband,No
Cascade Communications Company,,,563-852-3710,www.cascadecomm.com,IA,Fixed Broadband,No
"Cellular South Licenses, LLC",C Spire Wireless,"Telapex, Inc.",855-277-4735,www.cspire.com,"AL, MS, TN",Mobile Broadband,No
"Central Arkansas Telephone Cooperative, Inc",,,501-865-3333,www.catc.net,AR,Fixed Broadband,No
CRC Communications LLC,Otelco,Otelco Inc,1-833-683-5261,www.otelco.com,MA,Fixed Broadband,No
Data Stream Broadband,,,877-303-8956,https://dsbroadband.com,"FL, TX, VA",Fixed Broadband,No
"E. Ritter Telephone Company, LLC",Ritter Communications,"E. Ritter Communications Holdings, LLC",888-336-4466,www.rittercommunications.com,AR,Fixed Broadband,No
"Farmers Telephone Cooperative, Inc.",,,888-218-5050,www.ftc-i.net,SC,Fixed Broadband,No
Granby Telephone LLC,Otelco,Otelco Inc,1-833-683-5261,www.otelco.com,MA,Fixed Broadband,No
"IT Auditors PR, Corp.",,,1-787-680-2088,www.itauditorspr.com,PR,Fixed Broadband,No
"Millington Telephone Company, LLC",Ritter Communications,"E. Ritter Communications Holdings, LLC",888-336-4466,www.rittercommunications.com,TN,Fixed Broadband,No
